#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
MIR338	67	0	0	0	0	0	0
MIR1250	113	0	0	0	0	1	0
AC115099.1	362	1	0	0	0	0	2
PVALEF	1803	0	0	0	2	2	0
CEP131	3966	456	727	224	604	909	711
AC027601.3	805	0	0	0	0	0	0
TEPSIN	4762	202	270	77	332	464	382
AC027601.2	4506	0	1	0	0	0	0
NDUFAF8	1339	113	167	55	159	228	198
SLC38A10	7907	1876	2298	1091	1557	2150	1766
AC027601.4	610	1	0	0	1	0	1
AC027601.5	2482	0	0	0	1	1	0
LINC00482	2197	4	8	6	4	4	3
AC027601.1	3794	0	0	1	7	4	7
AC027601.6	6784	113	132	80	358	535	438
AC110285.3	665	0	0	0	0	0	0
AC110285.1	3727	1	3	0	102	104	85
AC110285.5	352	0	0	0	0	2	0
AC110285.2	1628	50	108	43	486	654	590
BAHCC1	13473	1462	1974	886	5004	6389	5559
AC110285.6	1536	54	133	46	101	191	148
MIR4740	63	0	0	0	0	0	0
MIR3186	85	0	0	0	0	0	0
AC110285.4	424	0	0	0	0	0	0
LINC01971	1048	5	8	6	4	2	1
ACTG1	2920	103997	137705	66603	147196	195627	166762
AC139149.1	957	11	4	1	20	10	11
FSCN2	2019	6	4	0	9	12	19
FAAP100	5353	887	1280	324	879	1140	937
NPLOC4	9540	5180	6636	4063	6969	9498	8148
TSPAN10	4745	16	21	11	56	59	62
AC139530.1	1095	31	58	16	3	17	4
OXLD1	1600	319	471	247	295	465	347
CCDC137	2389	637	1012	536	607	951	771
ARL16	2597	570	802	399	898	1297	1102
HGS	8205	1388	1911	700	2196	2966	2582
MIR6786	113	0	0	0	0	0	0
AC139530.4	690	7	14	12	15	16	15
AC139530.2	1977	68	109	27	110	175	161
MRPL12	1009	231	420	51	220	284	207
AC139530.3	1922	0	0	0	0	0	0
SLC25A10	2621	172	251	71	170	260	219
GCGR	3236	22	34	7	16	7	4
MCRIP1	3726	814	1150	280	1209	1737	1472
PPP1R27	1449	0	0	0	7	2	0
P4HB	5231	12047	15761	10608	16492	22118	19046
AC145207.3	529	0	0	0	0	5	3
AC145207.9	325	17	15	7	32	49	35
AC145207.2	762	9	7	2	10	20	11
ARHGDIA	2875	3064	4428	1415	2949	3843	3278
AC145207.5	2682	719	884	547	652	940	804
AC145207.6	782	0	0	0	0	1	0
ALYREF	1574	925	1618	470	961	1294	1124
ANAPC11	4027	599	959	294	890	1256	1122
NPB	2161	8	7	6	48	47	36
PCYT2	6897	835	1177	333	325	453	378
SIRT7	6134	338	496	231	518	812	656
MAFG	5241	1050	1525	865	1691	2251	2073
AC145207.8	563	0	1	0	1	0	0
MAFG-DT	1895	62	117	27	114	117	125
PYCR1	2886	2668	4012	1151	2470	3447	2877
AC145207.4	450	3	0	2	5	8	12
MYADML2	2452	0	0	0	2	3	6
AC145207.1	691	3	0	1	2	5	5
NOTUM	2913	33	41	13	41	47	36
AC145207.7	958	0	1	0	0	0	0
ASPSCR1	12097	740	1068	351	1051	1590	1243
CENPX	1531	1120	1666	417	844	1260	1008
LRRC45	3603	453	681	189	444	611	512
RAC3	1473	872	1303	240	510	613	600
DCXR	1902	662	956	295	608	781	671
AC137723.1	398	0	3	3	6	11	7
DCXR-DT	709	6	2	4	5	4	0
RFNG	3865	377	550	185	719	1028	703
GPS1	6155	3066	4188	997	3289	4419	3688
DUS1L	5999	1507	2012	1054	1712	2211	1918
FASN	9321	41383	55632	14263	22099	27681	23507
CCDC57	12394	499	595	347	1177	1658	1553
AC129510.1	555	0	0	0	0	0	0
AC129510.2	345	0	0	0	0	0	0
AC132872.2	2368	0	10	4	9	14	12
SLC16A3	8995	96	163	49	554	785	574
MIR6787	61	0	0	0	0	0	0
CSNK1D	11024	3150	4490	2262	4658	6157	5743
AC132872.3	629	0	0	0	8	6	0
AC132872.4	2778	0	0	0	2	1	3
AC132872.5	4273	23	36	9	44	48	44
LINC01970	1810	16	19	4	40	36	32
AC132872.1	1195	12	25	21	77	94	66
CD7	2741	1	1	0	2	2	6
SECTM1	2961	17	12	6	17	21	19
TEX19	1935	44	69	32	63	62	74
AC132938.4	848	0	0	0	0	0	0
UTS2R	1357	3	7	0	4	9	13
AC132938.1	360	0	1	0	13	14	5
OGFOD3	6404	586	753	369	1003	1385	1172
AC132938.2	680	0	1	0	1	2	2
HEXD	4541	256	384	225	542	714	603
HEXD-IT1	1813	1	2	0	15	16	8
CYBC1	7237	842	1279	437	1621	1986	1759
AC132938.6	1303	1	4	0	5	0	6
AC132938.3	1097	21	28	12	20	39	34
NARF	7919	1421	1836	952	3812	5135	4792
AC132938.5	1655	13	27	8	98	158	100
NARF-AS1	838	0	0	0	0	0	0
NARF-IT1	769	18	13	16	39	46	45
FOXK2	9986	2667	3446	2172	3020	3990	3538
AC124283.4	456	0	0	0	0	0	0
AC124283.3	594	22	30	20	34	39	51
AC124283.2	318	0	0	0	0	0	0
AC124283.1	1190	2	4	5	6	13	7
WDR45B	3542	2852	3534	2684	4434	6243	5445
AC124283.5	1809	0	5	0	4	4	7
RAB40B	6164	24	36	33	102	109	108
MIR4525	75	0	0	0	0	0	0
AC024361.2	898	1	3	5	1	5	5
FN3KRP	2944	378	480	319	694	1017	864
AC024361.3	333	0	0	1	1	0	0
FN3K	3831	248	327	177	608	838	717
AC024361.1	642	19	16	14	25	41	61
TBCD	13537	4863	6318	2862	4385	5706	5170
AC068014.1	413	0	0	0	0	0	0
ZNF750	3158	1	0	2	15	7	12
AC087222.1	504	45	49	44	92	150	143
B3GNTL1	6891	148	202	104	314	427	358
AC130371.1	628	0	0	0	0	0	0
METRNL	2711	417	544	202	796	1050	952
AC130371.2	611	7	11	5	41	48	44
AC144831.1	2656	26	13	10	65	60	51
AC139099.3	3504	0	0	0	0	0	0
AC139099.2	3915	0	1	2	4	9	6
AC139099.1	2625	0	0	0	0	2	1
RPL23AP87	2256	3	1	1	5	9	2
LINC02564	1432	0	0	0	0	0	0
AP005530.1	610	0	0	0	0	0	0
AP001005.1	763	0	0	0	0	0	0
TUBB8P12	1633	5	16	8	11	10	19
AP001005.3	741	1	5	4	1	1	3
IL9RP4	1248	0	0	0	0	0	1
AP001005.2	129	0	0	0	0	0	0
ROCK1P1	2645	11	16	9	47	49	66
MIR8078	84	0	0	0	0	0	0
USP14	5987	3110	3849	4286	2993	4240	3966
THOC1	8102	465	650	754	801	1055	1093
AP000845.1	2131	20	24	15	43	76	61
AP000915.1	548	0	0	0	0	0	0
COLEC12	7343	17	26	22	344	451	460
AP000915.2	454	0	0	0	1	4	1
LINC01925	500	0	0	0	0	0	0
CETN1	1758	0	0	0	0	0	0
RN7SKP146	334	0	0	0	0	0	0
CLUL1	3846	5	1	9	2	4	9
TYMSOS	5020	66	72	48	79	104	91
AP001178.3	2106	0	0	0	0	0	0
AP001178.1	268	4	4	3	8	9	10
TYMS	2421	2230	2556	2182	3895	5230	4841
ENOSF1	11390	529	625	494	867	1173	1187
AP001178.2	326	0	0	0	0	0	0
YES1	5100	1437	1929	2185	1795	2203	2331
AP001020.3	1714	0	0	0	0	0	0
AP001020.1	464	0	0	0	0	0	0
AP001020.2	1605	15	8	11	30	38	28
RNU1-109P	147	7	4	14	5	7	13
AP000894.4	483	17	24	13	27	48	43
BOLA2P1	232	0	0	0	0	0	0
AP000894.1	520	0	0	0	0	0	0
AP000894.3	351	0	0	0	1	4	0
AP000894.2	3902	0	2	0	292	417	363
ADCYAP1	3877	1	4	1	678	914	892
LINC01904	861	0	0	0	0	0	0
AP005328.1	657	1	3	3	1	1	1
AP000829.1	2307	38	51	21	76	96	85
AP005265.1	872	0	0	0	0	0	0
COX6CP3	223	0	0	0	0	0	0
LINC00470	9091	0	0	0	2	1	0
RN7SKP72	292	0	0	0	0	0	0
AP005119.1	292	0	0	0	0	0	0
AP005119.2	1105	0	0	0	0	0	0
AP005262.2	9176	0	0	0	0	1	0
AC019183.1	505	0	0	0	0	0	0
AP005057.1	574	0	0	0	0	0	0
AP005230.1	6656	8	8	7	4	10	4
AP005262.1	997	0	0	0	0	0	0
AP005136.3	1690	2	0	0	0	0	2
METTL4	5724	210	277	245	324	487	531
AP005136.2	1049	4	3	0	6	8	5
AP005136.1	429	0	0	0	0	0	0
NDC80	3554	446	636	704	746	1141	963
KATNBL1P3	909	0	0	0	0	0	0
RNU6-340P	107	0	0	0	0	0	0
AP005061.1	1429	12	4	1	22	25	35
SMCHD1	12435	1182	1476	1677	2084	2829	2884
AP001011.1	1049	0	0	0	0	0	0
EMILIN2	6469	347	423	265	193	256	231
LPIN2	6800	398	408	343	1106	1464	1361
AP000919.4	720	0	1	5	0	2	0
AP000919.1	1341	2	8	8	2	11	9
AP000919.2	3632	0	0	0	0	0	0
AP000919.3	568	0	0	0	0	0	0
SNRPCP4	427	0	0	0	0	0	0
AP005431.1	319	0	0	0	0	0	0
MYOM1	6574	25	37	22	84	94	106
RNU7-25P	62	0	0	0	0	0	0
AP005329.2	1771	4	3	1	2	6	2
AP005329.3	686	27	52	34	68	108	89
MYL12A	3245	4572	5154	5815	5276	7678	6875
AP005329.1	1063	16	15	3	26	31	12
MYL12B	1932	3875	4335	5236	3448	5137	4796
AP001025.1	1180	0	0	0	0	2	4
LINC01895	2085	0	0	0	0	0	0
RPL31P59	332	0	0	0	0	0	0
IGLJCOR18	424	0	0	0	0	0	0
RPL21P127	477	0	0	0	0	0	0
TGIF1	8222	1832	2457	1487	3372	4642	4222
BOD1P1	436	2	0	0	0	0	0
GAPLINC	1051	3	9	2	8	21	9
DLGAP1	12078	434	639	448	706	970	843
RN7SL39P	297	0	0	0	0	0	1
AP002472.1	586	0	0	0	2	0	0
DLGAP1-AS1	2116	93	115	89	128	215	161
DLGAP1-AS2	3171	356	501	398	293	446	426
AP002478.1	1761	3	3	1	5	5	5
AP002478.2	557	3	5	1	6	2	1
DLGAP1-AS3	5198	0	0	0	0	0	0
MIR6718	80	0	0	0	0	0	0
RNU6-831P	107	0	0	0	0	0	1
DLGAP1-AS4	2545	0	0	0	1	0	0
GAPDHP66	967	18	17	14	5	9	15
DLGAP1-AS5	2878	0	0	0	0	0	0
AP005208.1	208	0	0	0	0	0	0
AP005403.1	229	0	0	1	0	0	0
AP005203.1	631	0	1	0	3	5	5
PPIAP14	496	17	20	18	33	33	40
LINC01892	2807	0	0	0	0	0	0
BOD1P2	481	0	0	0	0	0	0
AKAIN1	711	0	0	0	0	0	0
AP005380.1	547	0	0	0	0	0	0
AP001496.4	1590	0	0	0	0	0	0
AP001496.2	977	0	1	1	1	1	3
LINC00526	1875	24	65	34	69	99	103
LINC00667	10094	465	561	518	708	941	949
AP001496.3	913	0	0	0	0	0	0
ZBTB14	4144	466	576	659	403	551	598
AP001496.1	471	0	0	0	0	0	0
AP005671.1	463	0	0	0	0	0	0
EPB41L3	12203	429	529	561	22	41	31
AP005059.2	578	0	0	0	0	0	0
AP005059.1	456	0	0	0	0	0	0
MIR3976HG	16214	0	0	0	0	0	0
MIR3976	139	0	0	0	0	0	0
TMEM200C	10638	209	321	197	385	523	452
AP001021.1	3675	0	3	2	3	2	3
AP001021.3	2234	0	1	0	0	0	0
L3MBTL4	7959	70	58	67	11	9	12
AP001021.2	244	0	0	0	0	0	0
RNU5F-3P	117	0	0	0	0	0	0
L3MBTL4-AS1	2044	0	0	0	0	0	0
MIR4317	65	0	0	0	0	0	1
AP005060.1	3174	2	8	8	2	6	1
RNU6-349P	107	0	0	0	0	0	0
RPL6P27	872	25	45	26	43	69	74
AP005202.2	567	0	0	0	0	0	0
LINC01387	603	0	0	0	0	0	0
AP005202.1	658	7	8	4	1	3	0
RN7SL282P	297	0	0	0	0	0	0
AP005205.1	508	0	0	0	0	0	0
AP005205.3	1929	0	0	0	0	0	0
AP005205.2	491	10	12	13	13	5	11
ARHGAP28	11910	346	488	371	280	393	428
AP005210.2	1476	0	0	0	0	0	0
AP005210.1	544	0	0	0	0	0	0
LINC00668	4866	31	24	25	18	39	25
SCML2P1	1100	0	0	0	0	0	0
RNU6-916P	109	0	0	0	0	3	1
LAMA1	15857	8098	9579	8886	12743	17333	16498
AP002409.1	2295	0	0	0	0	0	0
AP005062.1	607	0	0	0	0	0	0
SLC25A51P2	889	0	0	0	0	0	0
LRRC30	923	0	0	0	0	0	0
AP001095.1	770	0	0	0	0	0	0
PTPRM	9900	359	503	400	1147	1532	1410
AP000897.2	1737	0	0	0	0	0	0
AP000897.1	1613	4	1	3	8	10	13
AP005900.1	3243	0	0	0	0	0	0
AC006566.2	2218	0	0	0	0	0	0
AC006566.1	513	3	5	0	11	5	5
AP001094.3	616	0	1	0	0	1	1
AP001094.2	2315	4	1	6	16	16	22
AP001094.1	193	0	0	0	0	0	0
COP1P1	2176	0	0	0	0	5	0
RN7SL50P	298	0	0	0	0	0	0
THEMIS3P	1586	0	0	0	0	0	0
AKR1B1P6	839	0	0	0	0	0	0
RAB12	2476	1779	2146	2464	722	1073	1012
AP001793.1	780	0	0	0	0	0	0
TOMM20P3	389	0	0	0	0	0	0
GACAT2	818	11	7	3	1	8	0
MTCL1	12665	1581	1965	1351	1915	2696	2564
AP000864.1	650	20	21	5	20	38	29
AP001531.1	3001	0	0	0	0	0	0
AP005899.2	1033	0	0	0	0	0	0
RPS4XP19	736	0	0	0	0	0	0
NDUFV2	2711	128	156	169	291	342	326
AP005263.1	1050	0	0	0	0	0	2
AP005899.1	544	0	0	0	0	0	0
NDUFV2-AS1	1432	6	9	1	15	23	19
ANKRD12	12248	315	365	477	488	650	715
AP001033.2	1003	12	14	10	17	24	21
AP001033.1	5142	10	18	6	25	37	25
TWSG1	4435	319	418	418	616	909	909
AP001033.3	974	3	10	5	13	24	15
AP005432.2	586	4	9	10	19	17	14
RALBP1	8041	1349	1825	1706	1608	2386	2291
AP005432.1	3485	11	6	16	16	13	12
RNU2-27P	142	0	0	0	0	0	0
PPP4R1	8131	3307	3932	3425	3345	4329	4326
AP001381.1	534	0	0	0	0	0	0
PPP4R1-AS1	379	5	3	1	7	3	5
RNU6-903P	109	0	0	0	0	0	0
AP000902.2	970	0	1	0	1	0	1
KRT18P8	1246	0	0	0	1	0	0
RAB31	5476	2630	2975	3608	890	1315	1319
AP000902.1	368	0	0	0	0	0	0
ZNF415P1	1166	3	10	10	1	1	5
RN7SL862P	298	0	0	0	0	0	0
AC006238.2	1030	0	0	0	0	0	0
RNA5SP449	130	0	0	0	0	0	0
PIGPP4	307	0	0	0	0	0	0
TXNDC2	3392	2	1	2	1	2	0
AC006238.1	534	0	1	0	2	1	0
VAPA	11880	1748	2214	2106	2688	3493	3510
RNA5SP450	102	0	0	3	0	3	1
AP005271.1	740	0	0	0	0	0	0
AP005209.2	943	0	0	0	0	0	0
AP005209.1	2097	0	0	2	0	0	0
AP006219.1	472	0	0	0	0	0	0
AP006219.2	1514	0	0	0	0	0	0
LINC01254	3225	0	2	1	0	0	0
AP006219.3	1251	0	1	0	0	0	0
APCDD1	5937	324	462	240	154	207	153
NAPG	5589	635	779	770	982	1304	1317
AP001099.1	855	1	0	1	0	0	0
LINC01887	860	0	0	0	0	0	0
AP001180.3	145	0	0	0	0	0	0
CCDC58P1	430	0	0	0	0	0	1
AP001180.2	422	0	0	0	0	0	0
AP001180.5	159	0	0	0	0	0	0
PMM2P1	730	0	0	0	0	0	0
AP001180.1	3566	0	0	0	0	0	0
PIEZO2	14796	795	1022	875	472	593	617
AP001180.4	823	0	0	0	0	0	0
KIAA0895LP1	3016	0	0	0	0	0	0
MIR6788	66	0	0	0	0	0	0
AP005120.1	800	0	0	0	0	0	0
AP005139.1	1647	0	0	0	0	0	0
AP005229.1	810	1	0	0	0	2	0
AP005229.2	697	0	0	0	0	0	0
AP001109.1	279	0	0	0	0	0	0
LINC01928	504	0	0	0	0	0	0
LINC01255	8810	0	0	0	0	0	0
AP001017.1	482	0	0	0	0	0	0
SLC35G4	1017	0	0	0	0	0	0
AP001120.4	108	0	0	0	0	0	0
NPIPB1P	1133	0	0	0	0	0	0
AP001120.2	296	0	0	0	1	0	1
AP001120.3	489	0	0	0	0	0	0
MIR7153	57	0	0	0	0	0	0
AP001120.1	3710	0	0	0	0	0	0
GNAL	8137	723	948	939	516	697	678
ASNSP6	1618	1	0	1	0	0	0
AP001120.5	3691	4	0	0	0	0	1
AP005137.1	568	0	0	0	0	0	0
CHMP1B	3054	1233	1584	1391	1925	2576	2473
CHMP1B-AS1	553	0	0	0	0	0	0
AP005137.2	400	1	0	0	1	0	0
MPPE1	7630	316	370	391	331	454	390
AP001269.4	512	0	0	1	0	4	3
AP001269.2	379	3	2	1	0	2	4
AP001269.3	329	0	0	0	0	0	0
IMPA2	3819	2085	2861	1282	1770	2440	2132
AP001269.1	528	0	0	0	0	0	0
AP001542.3	527	0	0	0	0	0	0
AP001542.1	200	0	0	1	1	0	0
AP001542.2	364	2	0	0	0	0	0
AP002414.1	1147	0	0	0	0	1	0
AP002414.4	1148	0	0	0	0	1	0
AP002414.2	3423	0	5	3	7	17	6
AP002414.5	258	0	0	0	0	0	0
AP002414.3	1468	0	0	0	0	0	0
ANKRD62	4812	0	1	2	0	2	1
RNU6-324P	106	0	0	2	0	0	0
SDHDP1	474	0	0	0	0	0	0
AP005264.2	732	0	0	0	0	0	0
AP005264.6	745	0	0	0	0	0	0
AP005264.4	422	0	0	0	0	0	0
AP005264.5	2209	1	6	3	4	2	4
CCDC58P3	430	1	3	0	0	0	1
AP005264.3	485	0	0	0	0	0	0
PPIAP56	467	0	0	0	0	0	0
CIDEA	1852	5	1	3	0	0	1
AP005264.7	3313	1	0	0	4	14	14
AP005264.1	733	3	3	0	0	1	0
RNU6-170P	104	0	0	0	0	0	0
TUBB6	4117	3186	4442	1739	2001	2889	2405
AFG3L2	6624	3333	3987	3578	2276	3098	3054
RNU7-129P	62	0	0	0	0	0	0
PRELID3A	2643	92	126	88	45	80	83
AP001029.1	168	1	1	0	2	2	2
AP001029.2	5428	10	13	5	12	15	15
SPIRE1	6532	717	831	842	355	526	450
AP001029.3	596	0	0	1	0	0	0
PSMG2	2759	576	750	542	689	981	909
CEP76	6158	423	512	567	684	927	924
AP005482.3	720	12	13	20	12	28	26
AP005482.2	310	0	0	0	0	0	0
AP005482.1	2350	1	1	2	2	1	2
PTPN2	8718	554	701	761	712	959	943
STK25P1	838	0	0	0	3	0	0
EIF4A2P1	1063	0	5	0	0	0	3
SEH1L	10481	1603	1788	2048	1492	2121	2017
AP002449.1	474	0	1	2	1	1	2
CEP192	9901	1848	2127	2297	3542	4870	4697
AP001357.2	710	0	0	0	0	0	0
AP001357.1	1053	0	0	0	0	0	0
AP001198.2	466	0	0	0	0	0	0
AP001198.1	2086	0	0	0	0	0	0
LDLRAD4	16759	89	124	97	9	13	21
AP002505.1	228	0	0	0	0	0	0
C18orf15	2534	2	5	2	0	2	0
AP002505.3	589	0	0	0	0	0	0
AP002505.2	696	0	0	0	0	0	0
AP002439.1	480	0	0	0	0	0	0
LDLRAD4-AS1	2190	0	0	0	0	0	0
MIR5190	80	0	0	0	0	0	0
AP005131.5	498	0	0	0	0	0	0
AP005131.4	1698	0	0	0	0	7	0
AP005131.6	4215	19	4	11	0	0	0
AP005131.2	487	1	0	0	0	0	0
AP005131.1	4745	0	0	0	0	0	0
AP005131.7	611	2	5	2	0	0	0
AP005131.3	665	0	0	0	0	0	0
MIR4526	87	0	0	0	0	0	0
AP001010.1	538	0	0	0	0	0	0
FAM210A	4681	464	586	655	435	606	600
AP001525.1	236	3	1	1	1	1	0
RN7SL362P	267	4	2	6	3	6	1
RNMT	6982	1036	1419	1524	1511	2103	2323
MC5R	1906	7	12	8	5	10	11
MC2R	3734	0	0	0	0	0	0
AP001086.1	321	0	0	0	0	0	0
AC006557.6	864	0	0	0	0	0	0
AC006557.5	811	0	0	0	0	0	0
ZNF519	15787	502	589	694	784	1166	1054
AC006557.4	830	0	0	0	0	0	0
AC006557.1	1085	0	0	0	0	0	0
AC006557.3	517	0	0	0	0	0	0
FRG2LP	1563	0	0	0	0	0	0
AC006557.2	1240	0	0	0	0	0	0
NF1P5	448	0	0	0	0	0	1
ANKRD20A5P	6302	4	3	5	6	11	14
RNU6-316P	107	0	0	0	0	0	0
RHOT1P1	324	1	1	1	1	0	2
AP005212.4	3505	0	0	0	0	0	0
AP005212.2	528	0	0	0	0	0	0
CYP4F35P	2876	0	0	0	0	0	0
AP005212.3	710	0	0	0	0	0	0
AP005212.1	510	0	0	0	0	0	0
TERF1P2	1212	0	0	0	0	0	0
FEM1AP2	1997	0	0	0	0	0	0
AP006261.1	2551	0	0	0	0	0	0
LONRF2P1	668	0	0	0	0	0	0
CXADRP3	1955	0	0	0	0	0	0
GRAMD4P7	1232	0	0	0	0	0	0
POTEC	7118	0	1	2	0	0	0
RNU6-1021P	107	0	0	0	0	0	0
OR4K7P	945	0	0	0	0	0	0
OR4K8P	1048	0	0	0	0	0	0
SNX19P3	2975	0	0	0	0	2	1
VN1R74P	503	0	0	0	0	0	0
GTF2IP8	584	2	1	0	2	6	1
ANKRD30B	6212	0	3	1	0	0	0
RNU6-1210P	107	0	0	0	0	0	0
AP006565.1	586	0	0	0	0	0	0
MIR3156-2	77	0	0	0	0	0	0
LINC01906	499	0	0	0	0	0	0
FGF7P1	288	0	0	0	0	0	0
AP005121.1	916	0	0	0	0	0	0
LINC01443	2842	0	0	0	0	0	0
LINC01444	1336	0	0	0	0	0	0
AP005121.2	1101	0	0	0	0	0	0
AP005242.4	2529	0	0	0	0	0	0
AP005242.2	1175	0	0	0	0	1	0
AP005242.3	607	0	0	0	0	0	0
AP005242.1	467	0	0	0	0	0	0
AP005242.5	811	0	0	0	0	0	0
AP005901.2	525	0	0	0	0	0	0
AP005901.6	2855	0	0	0	0	0	0
AP005901.5	4140	0	0	0	0	0	0
AP005901.3	467	0	0	0	0	0	0
BNIP3P3	569	0	0	0	0	0	0
AP005901.4	1796	0	0	0	0	0	0
AP005901.1	2970	0	0	0	0	0	0
RNU6-721P	105	0	0	0	0	0	0
ROCK1	11075	778	947	1182	945	1252	1172
AC022795.1	480	0	0	0	0	0	0
RNU6-120P	103	0	0	0	0	0	0
EXOGP1	997	0	0	0	0	0	1
AC022809.1	428	0	0	0	7	21	8
GREB1L	10572	64	73	68	10700	14617	14036
AC015878.2	361	0	0	0	8	14	18
AC015878.1	679	0	0	0	0	0	0
RF00603	104	0	0	0	0	0	0
ESCO1	5285	549	754	936	424	615	548
SNRPD1	4862	1960	2287	2751	1720	2290	2473
ABHD3	4337	121	146	174	187	232	224
AC106037.1	336	0	1	0	0	0	2
AC106037.2	447	0	0	0	0	0	1
MIR320C1	88	0	0	0	0	0	0
MIB1	10033	2561	2909	3525	4984	6331	6458
RN7SL233P	277	1	0	0	1	5	2
MIR133A1HG	5825	0	0	0	0	0	0
MIR133A1	88	0	0	0	0	0	0
MIR1-2	85	0	0	0	0	0	0
AC103987.1	348	0	0	0	0	0	0
AC103987.2	417	0	0	0	0	0	0
RNU6-1038P	104	0	0	0	0	0	0
AC103987.3	292	0	0	0	0	0	0
RNA5SP451	110	1	0	0	0	6	0
LINC01900	955	0	0	0	0	0	0
AC091043.1	453	0	0	0	0	0	0
RNU6ATAC20P	127	0	0	0	0	0	0
GATA6-AS1	3173	0	1	1	0	1	1
GATA6	3996	7	12	4	19	30	18
AC091588.1	359	0	0	0	0	0	0
RNU6-702P	107	0	0	0	0	0	0
AC091588.3	770	0	0	0	0	0	0
AC091588.2	366	0	0	0	0	0	0
AC027449.1	407	0	0	0	0	0	0
CTAGE1	4315	3	3	0	1	0	0
AC099849.1	466	0	0	0	0	0	0
RPS4XP18	763	0	0	0	0	0	0
RNU6-1032P	107	0	0	0	0	0	0
AC090912.1	570	0	1	0	11	6	5
AC090912.2	1229	0	1	0	2	2	6
RBBP8	5078	561	895	969	1859	2449	2704
AC090912.3	533	0	0	0	1	2	2
UBE2CP2	510	0	1	0	10	11	11
MIR4741	90	0	0	0	0	0	0
RN7SL745P	299	7	3	4	11	12	16
CABLES1	6654	900	1127	716	304	438	387
TMEM241	5193	430	503	351	549	716	644
AC011731.1	389	0	4	3	0	2	1
RIOK3	4856	352	490	490	1155	1640	1478
AC026634.1	198	0	0	0	0	0	1
RMC1	3090	380	489	345	417	527	487
NPC1	9705	1832	2153	1719	2562	3286	3227
ANKRD29	6417	27	44	31	5	23	6
RPS10P27	496	0	0	0	0	0	0
LAMA3	14678	42	52	40	16	8	7
RPL23AP77	463	0	2	0	0	1	0
AC010754.1	2343	0	0	0	0	0	0
TTC39C	7188	1408	1595	1807	562	822	773
TTC39C-AS1	817	2	1	0	3	2	1
AC090772.2	564	0	0	0	0	0	0
AC090772.1	507	0	0	0	0	0	2
RNU5A-6P	116	0	0	0	0	0	0
AC090772.4	362	0	0	0	0	0	0
CABYR	3518	191	238	197	151	195	185
AC090772.3	735	16	15	16	12	15	16
OSBPL1A	8029	1688	2145	2039	2047	2868	2913
RNA5SP452	119	0	0	0	0	0	0
RNU6-435P	105	0	0	0	0	0	0
MIR320C2	50	0	0	0	0	0	0
AC023983.1	567	0	0	1	1	1	0
AC023983.2	562	5	2	7	0	2	1
IMPACT	4896	555	651	819	529	785	759
AC007922.2	281	5	4	7	0	9	4
HRH4	3664	0	1	0	1	2	1
AC007922.1	459	0	0	0	0	0	0
AC007922.4	3057	0	0	0	0	0	0
AC007922.3	4345	0	0	0	0	0	0
EIF4A3P1	647	0	0	0	0	0	0
LINC01915	10348	0	0	0	1	0	0
RAC1P1	580	0	0	0	0	0	0
PPIAP57	248	0	0	0	0	0	0
AC018697.1	8281	5	3	1	6	13	11
LINC01894	1731	0	1	0	9	3	8
WBP2P1	771	0	0	0	0	2	1
AC104961.1	663	0	0	0	0	0	0
ZNF521	6225	522	647	479	4969	6559	6815
AC105114.2	2037	0	0	0	0	0	0
AC105114.1	1862	5	1	5	17	20	13
AC110603.1	468	0	0	0	0	0	0
RN7SL97P	299	0	0	0	0	0	0
AC027229.1	253	0	0	0	0	0	0
AC091021.1	6144	1189	1596	1387	1679	2342	2298
RPS24P18	388	0	0	0	0	0	0
PSMA8	1894	0	0	0	2	1	0
DHFRP1	559	6	3	6	6	11	5
NPM1P2	867	0	0	0	0	0	0
TAF4B	5395	582	739	674	467	719	695
SINHCAFP1	658	0	0	0	2	0	0
AC121320.1	839	7	6	4	5	8	2
AC022069.1	658	2	2	5	1	3	3
RNU6-1289P	106	0	0	0	0	0	0
LINC01543	1721	2	1	1	1	1	0
KCTD1	8882	696	845	550	1072	1486	1361
AC007996.1	2821	267	379	349	416	524	516
AC090206.1	1678	4	2	1	17	13	16
MIR8057	69	0	0	0	3	0	0
CIAPIN1P	931	0	0	0	2	3	0
AQP4-AS1	11044	0	0	2	2	5	5
AC012588.1	2694	0	1	1	4	6	5
PCAT18	2598	1	0	0	0	0	0
AC018371.1	1474	0	0	0	0	0	0
AC018371.2	913	0	0	0	0	0	0
AQP4	5943	20	32	46	40	58	41
CHST9	11512	535	655	766	47	52	74
AC023575.1	358	2	7	2	0	1	0
LINC01908	555	7	1	7	0	1	1
AC090403.1	3244	0	0	0	4	4	4
AC021382.1	922	0	1	0	0	0	0
UBA52P9	359	0	0	0	0	0	0
AC068408.1	1106	0	0	0	0	0	0
RBM22P1	1214	0	0	0	0	0	0
PA2G4P3	1144	0	0	0	0	0	0
AC068408.2	748	0	0	0	0	0	0
AC090936.1	812	0	4	0	3	11	3
CDH2	4634	1863	2284	2289	6693	9229	9173
AC110015.1	440	1	0	0	0	2	4
AC006249.1	471	6	6	5	16	42	32
AC090365.1	965	0	0	0	0	0	0
ARIH2P1	1477	0	0	0	0	0	0
AC023932.1	175	0	0	0	0	0	0
RNU6-408P	100	0	0	0	0	0	0
